Sample Filename,Sample ID,HPLID,Type,Pass/Fail,DQC,QC call_rate,call_rate,QC het_rate,het_rate,affymetrix-plate-barcode,affymetrix-plate-peg-wellposition,Average call rate for passing samples,Percent of passing samples
HPL-00308_Tissue_225234_H6.CEL,HPL-00308_Tissue,,Tissue,Fail,0.99764,90.328,,34.275,,5513774462030061924883,H06,98.354,44.271
HPL-00309_Tissue_225234_J6.CEL,HPL-00309_Tissue,,Tissue,Fail,0.99528,87.851,,37.655,,5513774462030061924883,J06,98.354,44.271
HPL-00310_Tissue_225234_L6.CEL,HPL-00310_Tissue,,Tissue,Fail,1,91.216,,32.527,,5513774462030061924883,L06,98.354,44.271
HPL-00311_Tissue_225234_N6.CEL,HPL-00311_Tissue,,Tissue,Fail,1,90.211,,31.464,,5513774462030061924883,N06,98.354,44.271
HPL-00312_Tissue_225234_P6.CEL,HPL-00312_Tissue,,Tissue,Fail,1,93.722,,29.323,,5513774462030061924883,P06,98.354,44.271
HPL-00313_Tissue_225234_B8.CEL,HPL-00313_Tissue,,Tissue,Pass,0.99528,97.626,97.971,27.473,27.077,5513774462030061924883,B08,98.354,44.271
HPL-00314_Tissue_225234_D8.CEL,HPL-00314_Tissue,,Tissue,Fail,0.99764,89.818,,32.323,,5513774462030061924883,D08,98.354,44.271
HPL-00315_Tissue_225234_F8.CEL,HPL-00315_Tissue,"HPL Biospsy 2022, 2 Add (tissue)",Tissue,Fail,0.99764,90.43,,34.567,,5513774462030061924883,F08,98.354,44.271
HPL-00316_Tissue_225234_H8.CEL,HPL-00316_Tissue,"HPL Biospsy 2022, 9 Add (tissue)",Tissue,Fail,0.99764,89.337,,36.824,,5513774462030061924883,H08,98.354,44.271
HPL-00317_Tissue_225234_J8.CEL,HPL-00317_Tissue,"HPL Biospsy 2022, 53 Add (tissue)",Tissue,Fail,0.99764,90.007,,33.955,,5513774462030061924883,J08,98.354,44.271
HPL-00318_Tissue_225234_L8.CEL,HPL-00318_Tissue,"HPL Biospsy 2022, 8 Add (tissue)",Tissue,Fail,0.99764,88.143,,38.456,,5513774462030061924883,L08,98.354,44.271
HPL-00319_Tissue_225234_N8.CEL,HPL-00319_Tissue,"HPL Biospsy 2022, 28e Add (tissue)",Tissue,Fail,0.99764,90.59,,34.479,,5513774462030061924883,N08,98.354,44.271
HPL-00320_Tissue_225234_P8.CEL,HPL-00320_Tissue,"HPL Biospsy 2022, 40e Add (tissue)",Tissue,Fail,1,89.425,,32.906,,5513774462030061924883,P08,98.354,44.271
HPL-00321_Tissue_225234_B10.CEL,HPL-00321_Tissue,"HPL Biospsy 2022, 5e Add (tissue)",Tissue,Fail,1,89.672,,30.473,,5513774462030061924883,B10,98.354,44.271
HPL-00322_DNA_225234_D10.CEL,HPL-00322_DNA,"HPL Biospsy 2022, 4 Brush (DNA)",DNA,Fail,1,94.29,,31.187,,5513774462030061924883,D10,98.354,44.271
HPL-00323_DNA_225234_F10.CEL,HPL-00323_DNA,"HPL Biospsy 2022, 18 Brush (DNA)",DNA,Pass,0.99764,98.602,98.821,25.929,25.262,5513774462030061924883,F10,98.354,44.271
HPL-00324_DNA_225234_H10.CEL,HPL-00324_DNA,"HPL Biospsy 2022, 8 Brush (DNA)",DNA,Pass,0.99528,97.465,98.068,29.599,29.534,5513774462030061924883,H10,98.354,44.271
HPL-00325_DNA_225234_J10.CEL,HPL-00325_DNA,"HPL Biospsy 2022, B2 Brush (DNA)",DNA,Pass,0.98113,98.267,98.819,27.618,26.942,5513774462030061924883,J10,98.354,44.271
HPL-00326_DNA_225234_L10.CEL,HPL-00326_DNA,"HPL Biospsy 2022, 8b Brush (DNA)",DNA,Pass,0.99528,98.004,98.546,29.177,28.976,5513774462030061924883,L10,98.354,44.271
HPL-00327_DNA_225234_N10.CEL,HPL-00327_DNA,"HPL Biospsy 2022, 3 Brush (DNA)",DNA,Pass,0.98113,98.383,98.865,25.477,25.588,5513774462030061924883,N10,98.354,44.271
HPL-00328_DNA_225234_P10.CEL,HPL-00328_DNA,"HPL Biospsy 2022, 50 Brush (DNA)",DNA,Pass,0.98349,98.951,99.071,29.556,29.131,5513774462030061924883,P10,98.354,44.271
HPL-00329_DNA_225234_B12.CEL,HPL-00329_DNA,"HPL Biospsy 2022, 53 Brush (DNA)",DNA,Pass,0.98349,98.325,98.704,26.133,25.963,5513774462030061924883,B12,98.354,44.271
HPL-00330_DNA_225234_D12.CEL,HPL-00330_DNA,"HPL Biospsy 2022, 44 Mantle (DNA)",DNA,Pass,0.98821,98.427,98.683,28.114,27.577,5513774462030061924883,D12,98.354,44.271
HPL-00331_DNA_225234_F12.CEL,HPL-00331_DNA,"HPL Biospsy 2022, 25 Mantle (DNA)",DNA,Pass,0.99764,98.179,98.318,26.905,26.881,5513774462030061924883,F12,98.354,44.271
HPL-00332_DNA_225234_H12.CEL,HPL-00332_DNA,"HPL Biospsy 2022, 9 Mantle (DNA)",DNA,Pass,0.99057,98.383,98.815,27.502,27.387,5513774462030061924883,H12,98.354,44.271
